wave,group_name,question,frequency,estimate,group_category,mid_date
Week60,"$35,000 - $49,999","Frequency of feeling nervous, anxious, or on edge",Nearly every day,4050532,household_income,8/1/2023
Week60,"$35,000 - $49,999","Frequency of feeling nervous, anxious, or on edge",Did not report,26728,household_income,8/1/2023
Week60,"$35,000 - $49,999",Frequency of not being able to stop or control worrying,Not at all,10229222,household_income,8/1/2023
Week60,"$35,000 - $49,999",Frequency of not being able to stop or control worrying,Several days,6411587,household_income,8/1/2023
Week60,"$35,000 - $49,999",Frequency of not being able to stop or control worrying,More than half the days,2361222,household_income,8/1/2023
Week60,"$35,000 - $49,999",Frequency of not being able to stop or control worrying,Nearly every day,3557159,household_income,8/1/2023
Week60,"$35,000 - $49,999",Frequency of not being able to stop or control worrying,Did not report,133054,household_income,8/1/2023
Week60,"$50,000 - $74,999","Frequency of feeling nervous, anxious, or on edge",Not at all,13476607,household_income,8/1/2023
Week60,"$50,000 - $74,999","Frequency of feeling nervous, anxious, or on edge",Several days,10881393,household_income,8/1/2023
Week60,"$50,000 - $74,999","Frequency of feeling nervous, anxious, or on edge",More than half the days,3997486,household_income,8/1/2023
Week60,"$50,000 - $74,999","Frequency of feeling nervous, anxious, or on edge",Nearly every day,4964602,household_income,8/1/2023
Week60,"$50,000 - $74,999","Frequency of feeling nervous, anxious, or on edge",Did not report,106350,household_income,8/1/2023
Week60,"$50,000 - $74,999",Frequency of not being able to stop or control worrying,Not at all,15681072,household_income,8/1/2023
Week60,"$50,000 - $74,999",Frequency of not being able to stop or control worrying,Several days,10040861,household_income,8/1/2023
Week60,"$50,000 - $74,999",Frequency of not being able to stop or control worrying,More than half the days,3661710,household_income,8/1/2023
Week60,"$50,000 - $74,999",Frequency of not being able to stop or control worrying,Nearly every day,3783606,household_income,8/1/2023
Week60,"$50,000 - $74,999",Frequency of not being able to stop or control worrying,Did not report,259191,household_income,8/1/2023
Week60,"$75,000 - $99,999","Frequency of feeling nervous, anxious, or on edge",Not at all,10964359,household_income,8/1/2023
Week60,"$75,000 - $99,999","Frequency of feeling nervous, anxious, or on edge",Several days,9104733,household_income,8/1/2023
Week60,"$75,000 - $99,999","Frequency of feeling nervous, anxious, or on edge",More than half the days,3387213,household_income,8/1/2023
Week60,"$75,000 - $99,999","Frequency of feeling nervous, anxious, or on edge",Nearly every day,3964604,household_income,8/1/2023
Week60,"$75,000 - $99,999","Frequency of feeling nervous, anxious, or on edge",Did not report,70788,household_income,8/1/2023
Week60,"$75,000 - $99,999",Frequency of not being able to stop or control worrying,Not at all,13204034,household_income,8/1/2023
Week60,"$75,000 - $99,999",Frequency of not being able to stop or control worrying,Several days,8308064,household_income,8/1/2023
Week60,"$75,000 - $99,999",Frequency of not being able to stop or control worrying,More than half the days,2790338,household_income,8/1/2023
Week60,"$75,000 - $99,999",Frequency of not being able to stop or control worrying,Nearly every day,2989752,household_income,8/1/2023
Week60,"$75,000 - $99,999",Frequency of not being able to stop or control worrying,Did not report,199509,household_income,8/1/2023
Week60,"$100,000 - $149,999","Frequency of feeling nervous, anxious, or on edge",Not at all,13811715,household_income,8/1/2023
Week60,"$100,000 - $149,999","Frequency of feeling nervous, anxious, or on edge",Several days,10656031,household_income,8/1/2023
Week60,"$100,000 - $149,999","Frequency of feeling nervous, anxious, or on edge",More than half the days,3434153,household_income,8/1/2023
Week60,"$100,000 - $149,999","Frequency of feeling nervous, anxious, or on edge",Nearly every day,3489617,household_income,8/1/2023
Week60,"$100,000 - $149,999","Frequency of feeling nervous, anxious, or on edge",Did not report,63505,household_income,8/1/2023
Week60,"$100,000 - $149,999",Frequency of not being able to stop or control worrying,Not at all,17124302,household_income,8/1/2023
Week60,"$100,000 - $149,999",Frequency of not being able to stop or control worrying,Several days,9212699,household_income,8/1/2023
Week60,"$100,000 - $149,999",Frequency of not being able to stop or control worrying,More than half the days,2639591,household_income,8/1/2023
Week60,"$100,000 - $149,999",Frequency of not being able to stop or control worrying,Nearly every day,2294297,household_income,8/1/2023
Week60,"$100,000 - $149,999",Frequency of not being able to stop or control worrying,Did not report,184131,household_income,8/1/2023
Week60,"$150,000 - $199,999","Frequency of feeling nervous, anxious, or on edge",Not at all,6936814,household_income,8/1/2023
Week60,"$150,000 - $199,999","Frequency of feeling nervous, anxious, or on edge",Several days,5161841,household_income,8/1/2023
Week60,"$150,000 - $199,999","Frequency of feeling nervous, anxious, or on edge",More than half the days,1201512,household_income,8/1/2023
Week60,"$150,000 - $199,999","Frequency of feeling nervous, anxious, or on edge",Nearly every day,1315284,household_income,8/1/2023
Week60,"$150,000 - $199,999","Frequency of feeling nervous, anxious, or on edge",Did not report,8673,household_income,8/1/2023
Week60,"$150,000 - $199,999",Frequency of not being able to stop or control worrying,Not at all,8819620,household_income,8/1/2023
Week60,"$150,000 - $199,999",Frequency of not being able to stop or control worrying,Several days,4029399,household_income,8/1/2023
Week60,"$150,000 - $199,999",Frequency of not being able to stop or control worrying,More than half the days,857354,household_income,8/1/2023
Week60,"$150,000 - $199,999",Frequency of not being able to stop or control worrying,Nearly every day,859866,household_income,8/1/2023
Week60,"$150,000 - $199,999",Frequency of not being able to stop or control worrying,Did not report,57886,household_income,8/1/2023
Week60,"$200,000 and above","Frequency of feeling nervous, anxious, or on edge",Not at all,9997445,household_income,8/1/2023
Week60,"$200,000 and above","Frequency of feeling nervous, anxious, or on edge",Several days,5587785,household_income,8/1/2023
Week60,"$200,000 and above","Frequency of feeling nervous, anxious, or on edge",More than half the days,1129247,household_income,8/1/2023
Week60,"$200,000 and above","Frequency of feeling nervous, anxious, or on edge",Nearly every day,1279935,household_income,8/1/2023
Week60,"$200,000 and above","Frequency of feeling nervous, anxious, or on edge",Did not report,34966,household_income,8/1/2023
Week60,"$200,000 and above",Frequency of not being able to stop or control worrying,Not at all,12445999,household_income,8/1/2023
Week60,"$200,000 and above",Frequency of not being able to stop or control worrying,Several days,3786672,household_income,8/1/2023
Week60,"$200,000 and above",Frequency of not being able to stop or control worrying,More than half the days,897852,household_income,8/1/2023
Week60,"$200,000 and above",Frequency of not being able to stop or control worrying,Nearly every day,834346,household_income,8/1/2023
Week60,"$200,000 and above",Frequency of not being able to stop or control worrying,Did not report,64510,household_income,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,8816758,household_income,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,5100428,household_income,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,1835268,household_income,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,3216775,household_income,8/1/2023
Week60,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,44778690,household_income,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Not at all,9495413,household_income,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Several days,4854313,household_income,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,More than half the days,1714497,household_income,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,2535691,household_income,8/1/2023
Week60,Did not report,Frequency of not being able to stop or control worrying,Did not report,45148005,household_income,8/1/2023
Week60,Regular income sources,"Frequency of feeling nervous, anxious, or on edge",Not at all,75163278,used_in_the_last_7_days_to_meet_spending_needs,8/1/2023
Week60,Regular income sources,"Frequency of feeling nervous, anxious, or on edge",Several days,56412923,used_in_the_last_7_days_to_meet_spending_needs,8/1/2023
Week60,Regular income sources,"Frequency of feeling nervous, anxious, or on edge",More than half the days,18587859,used_in_the_last_7_days_to_meet_spending_needs,8/1/2023
Week60,Regular income sources,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,23899997,used_in_the_last_7_days_to_meet_spending_needs,8/1/2023
Week60,Regular income sources,"Frequency of feeling nervous, anxious, or on edge",Did not report,13064559,used_in_the_last_7_days_to_meet_spending_needs,8/1/2023
Week60,Regular income sources,Frequency of not being able to stop or control worrying,Not at all,89267993,used_in_the_last_7_days_to_meet_spending_needs,8/1/2023
Week60,Regular income sources,Frequency of not being able to stop or control worrying,Several days,49672377,used_in_the_last_7_days_to_meet_spending_needs,8/1/2023
Week60,Regular income sources,Frequency of not being able to stop or control worrying,More than half the days,15918164,used_in_the_last_7_days_to_meet_spending_needs,8/1/2023
Week60,Regular income sources,Frequency of not being able to stop or control worrying,Nearly every day,18388394,used_in_the_last_7_days_to_meet_spending_needs,8/1/2023
